date;actual;prev;art
mai-19;13;16.11627273;66999072
juin-19;13;15.21827397;66999072
juil-19;12;13.29074921;66999072
ao–t-19;6;11.33840906;66999072
nov-18;3;2.838119019;66999093
d‚c-18;2;2.839410198;66999093
janv-19;1;1.777448866;66999093
f‚vr-19;0;0.929298377;66999093
mars-19;1;1.770394195;66999093
avr-19;0;0.912755838;66999093
mai-19;1;1.749080968;66999093
juin-19;3;2.791406949;66999093
juil-19;5;2.771663459;66999093
ao–t-19;2;2.759239182;66999093
nov-18;18;25.84630265;66999114
d‚c-18;34;25.85499204;66999114
janv-19;11;19.25905123;66999114
f‚vr-19;19;25.83923499;66999114
mars-19;22;25.81608902;66999114
avr-19;21;25.78391106;66999114
mai-19;22;25.74372639;66999114
juin-19;25;25.69665428;66999114
juil-19;18;25.64387487;66999114
ao–t-19;17;25.5865962;66999114
nov-18;0;0.028319271;66999142
d‚c-18;0;0.070239727;66999142
janv-19;0;0.358957891;66999142
f‚vr-19;0;0.234056316;66999142
mars-19;0;0.367858946;66999142
avr-19;0;0.220490566;66999142
mai-19;0;0.060648033;66999142
juin-19;0;0.075737793;66999142
juil-19;0;0.079693024;66999142
ao–t-19;0;0.083235649;66999142
nov-18;3;3.654644602;66999240
d‚c-18;6;6.242404523;66999240
janv-19;6;6.39817558;66999240
f‚vr-19;5;5.839304832;66999240
mars-19;6;6.426471854;66999240
avr-19;6;6.440931037;66999240
mai-19;4;3.563544287;66999240
juin-19;4;3.772823213;66999240
juil-19;3;3.7661527;66999240
ao–t-19;3;3.779403049;66999240
nov-18;15;20.88166529;66999254
d‚c-18;11;20.19594496;66999254
janv-19;21;22.45047257;66999254
f‚vr-19;8;19.62229118;66999254
mars-19;15;21.18838813;66999254
avr-19;15;20.60778668;66999254
mai-19;23;35.70454871;66999254
juin-19;17;21.67697401;66999254
juil-19;13;20.43665653;66999254
ao–t-19;6;20.65051733;66999254
nov-18;36;42.29367524;66999282
d‚c-18;52;45.00628251;66999282
janv-19;35;48.86059883;66999282
f‚vr-19;40;49.16755109;66999282
mars-19;60;51.99822445;66999282
avr-19;86;48.89184741;66999282
mai-19;90;49.27406734;66999282
juin-19;78;47.58468987;66999282
juil-19;94;45.6118335;66999282
ao–t-19;100;47.83337404;66999282
nov-18;2;1.624335439;66999310
d‚c-18;3;3.3588729;66999310
janv-19;2;2.297751953;66999310
f‚vr-19;2;2.311793646;66999310
mars-19;3;3.40061052;66999310
avr-19;2;2.34521654;66999310
mai-19;2;2.363783521;66999310
juin-19;1;2.125485613;66999310
juil-19;3;3.475484993;66999310
ao–t-19;4;5.130783539;66999310
nov-18;2;3.051982857;66999331
d‚c-18;2;3.033070089;66999331
janv-19;4;3.792468121;66999331
f‚vr-19;2;3.177803583;66999331
mars-19;3;3.773135719;66999331
avr-19;5;3.771074545;66999331
mai-19;0;1.345636053;66999331
juin-19;1;1.57539595;66999331
juil-19;2;3.198861664;66999331
ao–t-19;4;3.82487972;66999331
nov-18;18;20.45522536;66999373
d‚c-18;32;23.43841441;66999373
janv-19;28;24.61224233;66999373
f‚vr-19;36;24.59043462;66999373
mars-19;43;24.57148115;66999373
avr-19;41;24.55645338;66999373
mai-19;36;24.54608023;66999373
juin-19;25;23.92715319;66999373
juil-19;30;23.34338617;66999373
ao–t-19;19;20.4218048;66999373
nov-18;1;1.32705972;66999380
d‚c-18;1;1.333368842;66999380
janv-19;0;0.257687892;66999380
f‚vr-19;1;1.350614303;66999380
mars-19;1;1.361140256;66999380
avr-19;0;0.289014673;66999380
mai-19;1;1.384750251;66999380
juin-19;1;1.397275314;66999380
juil-19;3;1.409892575;66999380
ao–t-19;1;1.422311783;66999380
nov-18;0;0.007633266;66999394
d‚c-18;1;0.973793221;66999394
janv-19;0;0.121856214;66999394
f‚vr-19;0;0.129953986;66999394
mars-19;1;0.997825926;66999394
avr-19;0;0.046728544;66999394
mai-19;1;1.01771216;66999394
juin-19;2;1.027951981;66999394
juil-19;0;0.093113804;66999394
ao–t-19;2;1.047594146;66999394
nov-18;2;1.217795545;66999401
d‚c-18;0;0.082430893;66999401
janv-19;0;0.118091113;66999401
f‚vr-19;1;1.238897556;66999401
mars-19;2;1.245826985;66999401
avr-19;0;0.13869898;66999401
mai-19;1;1.258433057;66999401
juin-19;0;0.065821769;66999401
juil-19;0;0.210423749;66999401
ao–t-19;0;0.12983975;66999401
nov-18;8;6.060364474;66999436
d‚c-18;12;6.040831473;66999436
janv-19;15;5.307837544;66999436
f‚vr-19;17;5.255428852;66999436
mars-19;18;5.187691197;66999436
avr-19;18;5.105766192;66999436
mai-19;11;5.707829518;66999436
juin-19;14;5.602031666;66999436
juil-19;8;5.487010327;66999436
ao–t-19;4;5.364820101;66999436
nov-18;40;50.82430707;67871090
d‚c-18;34;39.37286502;67871090
janv-19;29;42.97688078;67871090
f‚vr-19;29;42.89506744;67871090
mars-19;35;40.02512107;67871090
avr-19;52;50.42397233;67871090
mai-19;65;50.29508621;67871090
juin-19;45;50.15567455;67871090
juil-19;52;50.00875387;67871090
ao–t-19;58;49.85750129;67871090
nov-18;23;28.8431834;67871104
d‚c-18;21;26.00390866;67871104
janv-19;26;29.09006691;67871104
f‚vr-19;21;26.44729797;67871104
mars-19;22;27.79510503;67871104
avr-19;19;25.8354066;67871104
mai-19;17;25.49738469;67871104
juin-19;17;25.15012505;67871104
juil-19;11;20.59771052;67871104
ao–t-19;15;21.05268455;67871104
nov-18;203;221.367818;68322520
d‚c-18;240;221.8375764;68322520
janv-19;198;232.5654235;68322520
f‚vr-19;215;233.0392797;68322520
